이수학점,취업자,미취업자
4.0이상,63,47
3.5이상~4.0미만,199,202
3.0이상~3.5미만,100,86
2.5이상~3.0미만,14,11
2.0이상~2.5미만,2,2
1.0이상~2.0미만,0,0
1.0미만,0,0
