이수학점,취업자,미취업자
4.0이상,29,10
3.5이상~4.0미만,164,92
3.0이상~3.5미만,100,49
2.5이상~3.0미만,23,8
2.0이상~2.5미만,4,4
1.0이상~2.0미만,0,0
1.0미만,0,0
